题目编号,有效作答人数,平均强度匹配得分,强度匹配得分标准差,强度匹配得分中位数,平均作答时间（秒）,情绪强度评定数,标签级平均强度,标签级强度标准差,标签级强度中位数,强度下四分位数,强度上四分位数,强度地板比例,强度天花板比例,标签级标准化平均强度,被试级有效人数,被试级平均强度,被试级强度标准差,非标准情绪平均强度,标准情绪平均强度,题目标题,素材模态,能力类型,选项形式,每卷组合配额,组合题库数,期望作答人数,实际期望比,抽题组合
ITEM-00083,19,0.4407894736842105,0.1970636047764411,0.375,82.26578947368421,41,3.8292682926829267,0.8031948401350152,4.0,3.0,4.0,0.0,0.17073170731707318,0.7073170731707317,19,3.85,0.5525194818083592,3.5789473684210527,4.045454545454546,73,视频,情绪识别,多选题,2,13,19.692307692307693,0.96484375,视频 / 多选题 / 情绪识别
ITEM-00084,43,0.29069767441860467,0.3189465199896536,0.25,32.731162790697674,92,3.989130434782609,0.8579885141959167,4.0,3.0,5.0,0.010869565217391304,0.30434782608695654,0.7472826086956522,43,4.057364341085272,0.5674166643422618,3.9508196721311477,4.064516129032258,78,音频,情绪推理,多选题,2,6,42.666666666666664,1.0078125,音频 / 多选题 / 情绪推理
ITEM-00085,13,0.7980769230769231,0.20115850364760518,0.875,30.973846153846157,39,4.256410256410256,0.8181477384906107,4.0,4.0,5.0,0.0,0.48717948717948717,0.8141025641025641,13,4.216666666666667,0.6424057792277287,4.142857142857143,4.32,76,视频,情绪识别,多选题,2,13,19.692307692307693,0.66015625,视频 / 多选题 / 情绪识别
ITEM-00086,51,0.5931372549019608,0.27482168907186666,0.625,30.955098039215688,109,3.981651376146789,0.8817244402006571,4.0,3.0,5.0,0.0,0.3211009174311927,0.7454128440366973,51,3.946078431372549,0.6535848855461539,3.675675675675676,4.138888888888889,79,音频,情绪推理,多选题,2,6,42.666666666666664,1.1953125,音频 / 多选题 / 情绪推理
ITEM-00087,17,0.5686411764705882,0.29350638421255754,0.6667000000000001,49.10647058823529,56,4.160714285714286,0.8480305679371729,4.0,4.0,5.0,0.0,0.4107142857142857,0.7901785714285714,17,4.105882352941176,0.6061874588723506,4.05,4.222222222222222,77,视频,情绪识别,多选题,2,13,19.692307692307693,0.86328125,视频 / 多选题 / 情绪识别
ITEM-00088,24,0.6354166666666666,0.20742555849952668,0.625,42.435833333333335,83,4.108433734939759,0.8836185054865696,4.0,3.5,5.0,0.012048192771084338,0.39759036144578314,0.7771084337349398,24,4.125,0.6303323255075137,4.5,4.0886075949367084,81,视频,情绪识别,多选题,2,13,19.692307692307693,1.21875,视频 / 多选题 / 情绪识别
ITEM-00089,19,0.5745684210526316,0.23716449062630582,0.5832999999999999,62.473684210526315,58,4.086206896551724,0.8009749050676271,4.0,3.0,5.0,0.0,0.3620689655172414,0.771551724137931,19,4.028070175438597,0.60969666186816,4.0,4.121951219512195,84,视频,情绪识别,多选题,2,13,19.692307692307693,0.96484375,视频 / 多选题 / 情绪识别
ITEM-00090,29,0.6336206896551724,0.26077458982712903,0.625,39.894137931034486,81,4.061728395061729,0.7639646427084451,4.0,4.0,5.0,0.0,0.2839506172839506,0.7654320987654321,29,4.139655172413793,0.4399317631319316,3.8857142857142857,4.195652173913044,56,音频,情绪识别,多选题,2,9,28.444444444444443,1.01953125,音频 / 多选题 / 情绪识别
ITEM-00091,28,0.53125,0.29585289450195545,0.5,35.96964285714286,65,4.092307692307692,0.9307771773341641,4.0,4.0,5.0,0.015384615384615385,0.4,0.7730769230769231,28,4.095833333333333,0.6519932243582395,3.8275862068965516,4.305555555555555,59,音频,情绪识别,多选题,2,9,28.444444444444443,0.984375,音频 / 多选题 / 情绪识别
ITEM-00092,28,0.6696392857142858,0.2926501821974687,0.75,49.840357142857144,81,4.320987654320987,0.9059133580788392,5.0,4.0,5.0,0.037037037037037035,0.5061728395061729,0.8302469135802469,28,4.3428571428571425,0.5728498638302182,3.933333333333333,4.409090909090909,66,音频,情绪识别,多选题,2,9,28.444444444444443,0.984375,音频 / 多选题 / 情绪识别
ITEM-00093,36,0.53125,0.3125,0.5,40.875277777777775,86,3.755813953488372,0.9322464520353089,4.0,3.0,4.0,0.011627906976744186,0.2441860465116279,0.688953488372093,36,3.7861111111111114,0.6495114158851093,3.4705882352941178,3.9423076923076925,75,音频,情绪识别,多选题,2,9,28.444444444444443,1.265625,音频 / 多选题 / 情绪识别
ITEM-00094,23,0.29891304347826086,0.2913017668459787,0.375,45.53,40,3.725,0.9333562268254528,4.0,3.0,4.0,0.025,0.2,0.68125,23,3.6666666666666665,0.8804842561071294,3.409090909090909,4.111111111111111,88,音频,情绪识别,多选题,2,9,28.444444444444443,0.80859375,音频 / 多选题 / 情绪识别
ITEM-00095,28,0.7723214285714286,0.235833753995923,0.875,37.542142857142856,72,4.25,0.9154387849627547,4.5,4.0,5.0,0.013888888888888888,0.5,0.8125,28,4.3273809523809526,0.5887878020456456,3.652173913043478,4.530612244897959,59,文本,情绪识别,多选题,3,12,32.0,0.875,文本 / 多选题 / 情绪识别
ITEM-00096,40,0.634375,0.2706051800345634,0.625,24.4685,106,4.188679245283019,0.8741058838244757,4.0,4.0,5.0,0.0,0.4528301886792453,0.7971698113207547,40,4.2908333333333335,0.6115571410360089,3.9347826086956523,4.383333333333334,74,文本,情绪识别,多选题,3,12,32.0,1.25,文本 / 多选题 / 情绪识别
ITEM-00097,36,0.3229166666666667,0.3411836015989045,0.375,37.86972222222222,71,3.788732394366197,0.8091528719724894,4.0,3.0,4.0,0.0,0.18309859154929578,0.6971830985915493,36,3.703703703703704,0.6548853178545432,3.727272727272727,3.888888888888889,82,文本,情绪识别,多选题,3,12,32.0,1.125,文本 / 多选题 / 情绪识别
ITEM-00098,28,0.377975,0.25607511430567914,0.3333,38.28785714285714,62,3.903225806451613,0.9869588564074705,4.0,3.0,5.0,0.016129032258064516,0.3064516129032258,0.7258064516129032,28,3.930357142857143,0.7390358190229631,3.8,3.9523809523809526,1,视频,情绪推理,多选题,2,8,32.0,0.875,视频 / 多选题 / 情绪推理
ITEM-00100,33,0.4962121212121212,0.34866493206011534,0.5,52.83787878787879,80,3.9,0.9222976262532638,4.0,3.0,5.0,0.025,0.2625,0.725,33,3.8833333333333333,0.6152291804233968,3.8292682926829267,3.9743589743589745,10,视频,情绪推理,多选题,2,8,32.0,1.03125,视频 / 多选题 / 情绪推理
ITEM-00101,28,0.47767857142857145,0.34703367896880605,0.5,58.845000000000006,58,3.7413793103448274,0.889714025168746,4.0,3.0,4.0,0.0,0.20689655172413793,0.6853448275862069,28,3.800595238095238,0.6154472785980016,3.6153846153846154,3.84375,55,视频,情绪推理,多选题,2,8,32.0,0.875,视频 / 多选题 / 情绪推理
ITEM-00102,35,0.6357142857142857,0.35919055825961954,0.75,69.03914285714285,82,4.085365853658536,0.9189529671624492,4.0,3.25,5.0,0.0,0.4024390243902439,0.7713414634146342,35,4.083333333333333,0.6851005364893821,3.586206896551724,4.3584905660377355,57,视频,情绪推理,多选题,2,8,32.0,1.09375,视频 / 多选题 / 情绪推理
ITEM-00104,27,0.8796296296296297,0.21224951719581728,1.0,30.27259259259259,27,4.666666666666667,0.48038446141526137,5.0,4.0,5.0,0.0,0.6666666666666666,0.9166666666666666,27,4.666666666666667,0.4803844614152614,5.0,4.653846153846154,23,文本,情绪推理,单选题,1,4,32.0,0.84375,文本 / 单选题 / 情绪推理
ITEM-00105,41,0.4004073170731707,0.2701709795576164,0.3333,46.1290243902439,97,3.7216494845360826,1.0077022960804312,4.0,3.0,4.0,0.041237113402061855,0.2268041237113402,0.6804123711340206,41,3.75,0.65416401273347,3.6285714285714286,3.774193548387097,2,音频,情绪推理,多选题,2,6,42.666666666666664,0.9609375,音频 / 多选题 / 情绪推理
ITEM-00106,31,0.41935483870967744,0.45362933094374874,0.0,49.54548387096774,31,4.516129032258065,0.6256179740563449,5.0,4.0,5.0,0.0,0.5806451612903226,0.8790322580645161,31,4.516129032258065,0.6256179740563451,4.5625,4.466666666666667,77,视频,情绪推理,单选题,1,4,32.0,0.96875,视频 / 单选题 / 情绪推理
ITEM-00107,25,0.39666399999999996,0.25829055325350175,0.3333,40.9576,61,4.229508196721311,0.8244885813430208,4.0,4.0,5.0,0.0,0.4262295081967213,0.8073770491803278,25,4.169333333333333,0.5824334328519474,4.12,4.305555555555555,81,视频,情绪推理,多选题,2,8,32.0,0.78125,视频 / 多选题 / 情绪推理
ITEM-00108,35,0.4107142857142857,0.3829685574122066,0.375,50.21828571428572,85,3.835294117647059,0.8142635998766208,4.0,3.0,4.0,0.011764705882352941,0.18823529411764706,0.7088235294117647,35,3.90952380952381,0.5632289860760918,3.792452830188679,3.90625,59,音频,情绪推理,多选题,2,6,42.666666666666664,0.8203125,音频 / 多选题 / 情绪推理
ITEM-00109,49,0.35459183673469385,0.3097240652558975,0.375,58.04775510204082,102,3.607843137254902,0.9765250854315974,4.0,3.0,4.0,0.0196078431372549,0.19607843137254902,0.6519607843137255,49,3.685034013605442,0.7828326184703818,3.5,3.75,88,音频,情绪推理,多选题,2,6,42.666666666666664,1.1484375,音频 / 多选题 / 情绪推理
ITEM-00110,32,0.43359375,0.30616049547898155,0.375,38.86875,77,3.909090909090909,1.0154311785979884,4.0,3.0,5.0,0.025974025974025976,0.35064935064935066,0.7272727272727273,32,3.982291666666667,0.7817925535423023,3.86046511627907,3.9705882352941178,59,文本,情绪推理,多选题,1,3,42.666666666666664,0.75,文本 / 多选题 / 情绪推理
ITEM-00111,12,0.4375,0.4145780987944249,0.5,15.810833333333333,12,3.5,1.0,3.5,3.0,4.0,0.0,0.16666666666666666,0.625,12,3.5,1.0,3.2,3.7142857142857144,31,图像,情绪识别,单选题,2,28,9.142857142857142,1.3125,图像 / 单选题 / 情绪识别
ITEM-00112,7,0.0,0.0,0.0,20.42142857142857,7,4.0,0.5773502691896257,4.0,4.0,4.0,0.0,0.14285714285714285,0.75,7,4.0,0.5773502691896257,4.0,,35,图像,情绪识别,单选题,2,28,9.142857142857142,0.765625,图像 / 单选题 / 情绪识别
ITEM-00113,7,0.14285714285714285,0.37796447300922725,0.0,22.407142857142855,7,4.142857142857143,0.3779644730092273,4.0,4.0,4.0,0.0,0.14285714285714285,0.7857142857142857,7,4.142857142857143,0.37796447300922714,4.166666666666667,4.0,36,图像,情绪识别,单选题,2,28,9.142857142857142,0.765625,图像 / 单选题 / 情绪识别
ITEM-00114,9,0.1111111111111111,0.33333333333333337,0.0,18.172222222222224,9,3.888888888888889,0.6009252125773316,4.0,4.0,4.0,0.0,0.1111111111111111,0.7222222222222222,9,3.888888888888889,0.6009252125773314,3.875,4.0,38,图像,情绪识别,单选题,2,28,9.142857142857142,0.984375,图像 / 单选题 / 情绪识别
ITEM-00115,10,0.675,0.39175530911810524,0.75,13.912,10,4.3,0.674948557710553,4.0,4.0,5.0,0.0,0.4,0.825,10,4.3,0.6749485577105528,4.0,4.375,39,图像,情绪识别,单选题,2,28,9.142857142857142,1.09375,图像 / 单选题 / 情绪识别
ITEM-00116,12,0.4791666666666667,0.4454100936386057,0.625,18.587500000000002,12,4.0,0.8528028654224418,4.0,3.0,5.0,0.0,0.3333333333333333,0.75,12,4.0,0.8528028654224418,3.6,4.285714285714286,46,图像,情绪识别,单选题,2,28,9.142857142857142,1.3125,图像 / 单选题 / 情绪识别
ITEM-00117,10,0.2,0.4216370213557839,0.0,24.399,10,4.3,0.48304589153964805,4.0,4.0,4.75,0.0,0.3,0.825,10,4.3,0.4830458915396479,4.375,4.0,47,图像,情绪识别,单选题,2,28,9.142857142857142,1.09375,图像 / 单选题 / 情绪识别
ITEM-00118,11,0.3181818181818182,0.4484822890999862,0.0,19.24818181818182,11,4.363636363636363,0.674199862463242,4.0,4.0,5.0,0.0,0.45454545454545453,0.8409090909090909,11,4.363636363636363,0.6741998624632421,4.285714285714286,4.5,48,图像,情绪识别,单选题,2,28,9.142857142857142,1.203125,图像 / 单选题 / 情绪识别
ITEM-00119,8,0.21875,0.4105201404490232,0.0,21.3125,8,3.25,0.4629100498862757,3.0,3.0,3.25,0.0,0.0,0.5625,8,3.25,0.4629100498862757,3.1666666666666665,3.5,49,图像,情绪识别,单选题,2,28,9.142857142857142,0.875,图像 / 单选题 / 情绪识别
ITEM-00120,8,0.09375,0.2651650429449553,0.0,25.5625,8,4.125,0.6408699444616557,4.0,4.0,4.25,0.0,0.25,0.78125,8,4.125,0.6408699444616557,4.142857142857143,4.0,105,图像,情绪识别,单选题,2,28,9.142857142857142,0.875,图像 / 单选题 / 情绪识别
ITEM-00121,14,0.625,0.44667575574372825,0.875,17.54285714285714,14,4.285714285714286,0.9138735334633751,5.0,3.25,5.0,0.0,0.5714285714285714,0.8214285714285714,14,4.285714285714286,0.9138735334633754,3.75,4.5,106,图像,情绪识别,单选题,2,28,9.142857142857142,1.53125,图像 / 单选题 / 情绪识别
ITEM-00122,11,0.29545454545454547,0.41560470729681676,0.0,27.29,11,4.090909090909091,0.8312094145936333,4.0,3.5,5.0,0.0,0.36363636363636365,0.7727272727272727,11,4.090909090909091,0.8312094145936335,3.7142857142857144,4.75,5,文本,情绪识别,单选题,1,10,12.8,0.859375,文本 / 单选题 / 情绪识别
ITEM-00123,41,0.5365853658536586,0.4241203234702245,0.75,25.94390243902439,41,4.121951219512195,0.7481684954346686,4.0,4.0,5.0,0.0,0.34146341463414637,0.7804878048780488,41,4.121951219512195,0.7481684954346686,4.066666666666666,4.153846153846154,8,音频,情绪识别,单选题,2,7,36.57142857142857,1.12109375,音频 / 单选题 / 情绪识别
ITEM-00124,39,0.46153846153846156,0.3513997458401446,0.5,41.35923076923077,39,3.871794871794872,0.9227957286502331,4.0,3.0,4.5,0.0,0.2564102564102564,0.717948717948718,39,3.871794871794872,0.9227957286502332,3.769230769230769,3.923076923076923,22,音频,情绪识别,单选题,2,7,36.57142857142857,1.06640625,音频 / 单选题 / 情绪识别
ITEM-00125,26,0.5160115384615385,0.2173385457334673,0.5832999999999999,48.13884615384615,80,4.175,0.9109044052166165,4.0,4.0,5.0,0.0125,0.4375,0.79375,26,4.091025641025642,0.6676863995957446,4.3,4.1,85,视频,情绪识别,多选题,2,13,19.692307692307693,1.3203125,视频 / 多选题 / 情绪识别
ITEM-00126,17,0.34558823529411764,0.24418795497104517,0.375,29.97470588235294,41,3.8780487804878048,0.9538113532355209,4.0,3.0,5.0,0.0,0.2682926829268293,0.7195121951219512,17,4.052941176470589,0.7423740843036963,4.0,3.6666666666666665,86,视频,情绪识别,多选题,2,13,19.692307692307693,0.86328125,视频 / 多选题 / 情绪识别
ITEM-00127,20,0.38333,0.2316393410364256,0.3333,69.15450000000001,47,4.0638297872340425,0.7343809969345948,4.0,4.0,5.0,0.0,0.2978723404255319,0.7659574468085106,20,4.0625,0.601457173034084,4.1,4.037037037037037,87,视频,情绪识别,多选题,2,13,19.692307692307693,1.015625,视频 / 多选题 / 情绪识别
ITEM-00128,17,0.5514705882352942,0.2933468760799786,0.5,19.364117647058823,39,3.871794871794872,0.9227957286502331,4.0,3.0,4.5,0.0,0.2564102564102564,0.717948717948718,17,3.9284313725490194,0.6145731554491237,3.7777777777777777,3.9523809523809526,100,图像,情绪识别,多选题,3,22,17.454545454545453,0.9739583333333334,图像 / 多选题 / 情绪识别
ITEM-00129,21,0.4107142857142857,0.326302335703737,0.5,23.375714285714285,41,3.731707317073171,1.02528996493437,4.0,3.0,4.0,0.024390243902439025,0.24390243902439024,0.6829268292682927,21,3.8134920634920633,0.7861230298047616,3.55,3.9047619047619047,103,图像,情绪识别,多选题,3,22,17.454545454545453,1.203125,图像 / 多选题 / 情绪识别
ITEM-00130,19,0.46710526315789475,0.24239153238254887,0.5,16.87421052631579,35,3.857142857142857,0.7724238832805372,4.0,3.0,4.0,0.0,0.2,0.7142857142857143,19,3.833333333333333,0.6643478190611888,3.5,4.095238095238095,104,图像,情绪识别,多选题,3,22,17.454545454545453,1.0885416666666667,图像 / 多选题 / 情绪识别
ITEM-00131,14,0.5357142857142857,0.2704544405174453,0.625,20.797142857142855,36,3.8333333333333335,0.9411239481143201,4.0,3.0,4.0,0.027777777777777776,0.2222222222222222,0.7083333333333334,14,3.755952380952381,0.7044306406400331,3.764705882352941,3.8947368421052633,115,图像,情绪识别,多选题,3,22,17.454545454545453,0.8020833333333334,图像 / 多选题 / 情绪识别
ITEM-00132,14,0.5,0.2192645048267573,0.5,34.81142857142857,36,3.638888888888889,1.0731203574563766,4.0,3.0,4.0,0.027777777777777776,0.2222222222222222,0.6597222222222222,14,3.5952380952380953,0.9045570425481432,3.2941176470588234,3.9473684210526314,37,图像,情绪识别,多选题,3,22,17.454545454545453,0.8020833333333334,图像 / 多选题 / 情绪识别
ITEM-00133,11,0.375,0.4031128874149275,0.375,27.543636363636367,26,3.423076923076923,0.9021342216356465,3.0,3.0,4.0,0.0,0.15384615384615385,0.6057692307692307,11,3.5303030303030307,0.9062075486400019,3.5,3.3,99,图像,情绪识别,多选题,3,22,17.454545454545453,0.6302083333333334,图像 / 多选题 / 情绪识别
ITEM-00134,34,0.5294117647058824,0.26482345378681876,0.5625,35.2235294117647,81,3.8641975308641974,0.9969088024959091,4.0,3.0,5.0,0.024691358024691357,0.30864197530864196,0.7160493827160493,34,3.887254901960784,0.736803758251745,3.5517241379310347,4.038461538461538,67,文本,情绪识别,多选题,3,12,32.0,1.0625,文本 / 多选题 / 情绪识别
ITEM-00135,39,0.4326923076923077,0.2562478399237485,0.5,31.83846153846154,101,4.089108910891089,0.8258209236994434,4.0,4.0,5.0,0.0,0.32673267326732675,0.7722772277227723,39,4.0777777777777775,0.590771293520228,4.066666666666666,4.121951219512195,68,文本,情绪识别,多选题,3,12,32.0,1.21875,文本 / 多选题 / 情绪识别
ITEM-00136,21,0.4801428571428571,0.23555403110842438,0.5,25.944285714285716,53,3.981132075471698,0.9505173902373837,4.0,3.0,5.0,0.0,0.3584905660377358,0.7452830188679245,21,4.134920634920634,0.6869195481338887,3.75,4.081081081081081,71,文本,情绪识别,多选题,3,12,32.0,0.65625,文本 / 多选题 / 情绪识别
ITEM-00137,33,0.6439393939393939,0.2762068902328854,0.625,30.728181818181817,79,3.962025316455696,0.7240030807181153,4.0,4.0,4.0,0.0,0.21518987341772153,0.740506329113924,33,4.00050505050505,0.4585318670103236,3.774193548387097,4.083333333333333,69,音频,情绪识别,多选题,2,9,28.444444444444443,1.16015625,音频 / 多选题 / 情绪识别
ITEM-00138,37,0.20945945945945946,0.24483209604799624,0.25,63.70081081081081,69,3.6666666666666665,0.9341033238394151,4.0,3.0,4.0,0.014492753623188406,0.15942028985507245,0.6666666666666666,37,3.72972972972973,0.7292408442178361,3.5833333333333335,3.857142857142857,22,音频,情绪推理,多选题,2,6,42.666666666666664,0.8671875,音频 / 多选题 / 情绪推理
ITEM-00139,64,0.3359375,0.251853249976667,0.375,26.2546875,109,3.779816513761468,0.9560508874293251,4.0,3.0,4.0,0.01834862385321101,0.24770642201834864,0.694954128440367,64,3.7888020833333336,0.7609405131916699,3.6666666666666665,3.9038461538461537,37,图像,情绪推理,多选题,1,2,64.0,1.0,图像 / 多选题 / 情绪推理
ITEM-00140,48,0.5651041666666666,0.28712346218214385,0.5,27.485833333333332,110,3.9363636363636365,0.9313822491750623,4.0,3.0,5.0,0.0,0.32727272727272727,0.7340909090909091,48,3.959375,0.7309916371892786,3.8260869565217392,4.015625,63,文本,情绪推理,多选题,1,3,42.666666666666664,1.125,文本 / 多选题 / 情绪推理
ITEM-00141,48,0.46875,0.2818772556167712,0.375,55.727916666666665,97,3.845360824742268,0.8334192395583265,4.0,3.0,4.0,0.010309278350515464,0.21649484536082475,0.711340206185567,48,3.90625,0.7360573600965117,3.7045454545454546,3.9622641509433962,67,文本,情绪推理,多选题,1,3,42.666666666666664,1.125,文本 / 多选题 / 情绪推理
ITEM-00142,33,0.3484848484848485,0.4504311907225759,0.0,29.992121212121212,33,3.878787878787879,0.8572330399888265,4.0,3.0,4.0,0.0,0.24242424242424243,0.7196969696969697,33,3.878787878787879,0.8572330399888264,3.8,4.0,68,文本,情绪推理,单选题,1,4,32.0,1.03125,文本 / 单选题 / 情绪推理
ITEM-00143,37,0.18243243243243243,0.298425548182135,0.0,36.18378378378378,37,4.297297297297297,0.877650426007001,4.0,4.0,5.0,0.02702702702702703,0.4864864864864865,0.8243243243243243,37,4.297297297297297,0.877650426007001,4.1923076923076925,4.545454545454546,71,文本,情绪推理,单选题,1,4,32.0,1.15625,文本 / 单选题 / 情绪推理
ITEM-00144,31,0.3709677419354839,0.42264527946975167,0.0,42.149354838709684,31,3.903225806451613,0.7897188828807974,4.0,3.0,4.0,0.0,0.22580645161290322,0.7258064516129032,31,3.903225806451613,0.7897188828807974,3.7058823529411766,4.142857142857143,118,文本,情绪推理,单选题,1,4,32.0,0.96875,文本 / 单选题 / 情绪推理
ITEM-00145,29,0.43103448275862066,0.276671476504771,0.5,40.79379310344827,61,3.540983606557377,0.867443955765122,4.0,3.0,4.0,0.03278688524590164,0.08196721311475409,0.6352459016393442,29,3.5775862068965516,0.6211911858089787,3.53125,3.5517241379310347,69,音频,情绪识别,多选题,2,9,28.444444444444443,1.01953125,音频 / 多选题 / 情绪识别
ITEM-00146,31,0.6612903225806451,0.30137453924183083,0.75,41.25096774193548,71,3.9014084507042255,0.8133691760197174,4.0,3.0,4.0,0.0,0.23943661971830985,0.7253521126760564,31,3.9204301075268817,0.6253696636778175,3.7083333333333335,4.0,118,文本,情绪识别,多选题,3,12,32.0,0.96875,文本 / 多选题 / 情绪识别
ITEM-00147,4,0.5,0.3535533905932738,0.625,49.1725,4,4.25,0.5,4.0,4.0,4.25,0.0,0.25,0.8125,4,4.25,0.5,4.0,4.333333333333333,6,视频,情绪识别,单选题,1,19,6.7368421052631575,0.59375,视频 / 单选题 / 情绪识别
ITEM-00148,12,0.4791666666666667,0.32784304263787667,0.5,29.011666666666667,12,4.5,0.6741998624632419,5.0,4.0,5.0,0.0,0.5833333333333334,0.875,12,4.5,0.6741998624632421,4.666666666666667,4.444444444444445,62,视频,情绪识别,单选题,1,19,6.7368421052631575,1.78125,视频 / 单选题 / 情绪识别
ITEM-00149,33,0.3333333333333333,0.45357377202244253,0.0,62.39727272727273,33,4.090909090909091,0.6784005252999682,4.0,4.0,5.0,0.0,0.2727272727272727,0.7727272727272727,33,4.090909090909091,0.6784005252999682,4.142857142857143,4.0,60,视频,情绪推理,单选题,1,4,32.0,1.03125,视频 / 单选题 / 情绪推理
ITEM-00150,38,0.25,0.3287979746107145,0.0,43.74473684210526,77,3.6363636363636362,1.0501765629631665,4.0,3.0,4.0,0.05194805194805195,0.2077922077922078,0.6590909090909091,38,3.6469298245614037,0.847499902673977,3.3846153846153846,4.16,86,视频,情绪推理,多选题,2,8,32.0,1.1875,视频 / 多选题 / 情绪推理
