题目编号,ITEM-00001,ITEM-00002,ITEM-00003,ITEM-00004,ITEM-00005,ITEM-00006,ITEM-00007,ITEM-00008,ITEM-00009,ITEM-00010,ITEM-00011,ITEM-00012,ITEM-00013,ITEM-00014,ITEM-00015,ITEM-00016,ITEM-00017,ITEM-00018,ITEM-00019,ITEM-00020,ITEM-00021,ITEM-00022,ITEM-00023,ITEM-00024,ITEM-00025,ITEM-00026,ITEM-00027,ITEM-00028,ITEM-00029,ITEM-00030,ITEM-00032,ITEM-00033,ITEM-00034,ITEM-00035,ITEM-00036,ITEM-00037,ITEM-00038,ITEM-00039,ITEM-00040,ITEM-00041,ITEM-00042,ITEM-00043,ITEM-00044,ITEM-00045,ITEM-00046,ITEM-00047,ITEM-00048,ITEM-00049,ITEM-00050,ITEM-00051,ITEM-00052,ITEM-00053,ITEM-00054,ITEM-00055,ITEM-00056,ITEM-00057,ITEM-00058,ITEM-00059,ITEM-00060,ITEM-00061,ITEM-00062,ITEM-00063,ITEM-00064,ITEM-00065,ITEM-00066,ITEM-00067,ITEM-00068,ITEM-00069,ITEM-00070,ITEM-00071,ITEM-00072,ITEM-00073,ITEM-00074,ITEM-00075,ITEM-00076,ITEM-00077,ITEM-00078,ITEM-00079,ITEM-00080,ITEM-00081,ITEM-00082,ITEM-00083,ITEM-00084,ITEM-00085,ITEM-00086,ITEM-00087,ITEM-00088,ITEM-00089,ITEM-00090,ITEM-00091,ITEM-00092,ITEM-00093,ITEM-00094,ITEM-00095,ITEM-00096,ITEM-00097,ITEM-00098,ITEM-00100,ITEM-00101,ITEM-00102,ITEM-00104,ITEM-00105,ITEM-00106,ITEM-00107,ITEM-00108,ITEM-00109,ITEM-00110,ITEM-00111,ITEM-00112,ITEM-00113,ITEM-00114,ITEM-00115,ITEM-00116,ITEM-00117,ITEM-00118,ITEM-00119,ITEM-00120,ITEM-00121,ITEM-00122,ITEM-00123,ITEM-00124,ITEM-00125,ITEM-00126,ITEM-00127,ITEM-00128,ITEM-00129,ITEM-00130,ITEM-00131,ITEM-00132,ITEM-00133,ITEM-00134,ITEM-00135,ITEM-00136,ITEM-00137,ITEM-00138,ITEM-00139,ITEM-00140,ITEM-00141,ITEM-00142,ITEM-00143,ITEM-00144,ITEM-00145,ITEM-00146,ITEM-00147,ITEM-00148,ITEM-00149,ITEM-00150
ITEM-00040,0,3,1,2,1,1,1,1,4,7,1,1,2,0,2,2,0,1,1,1,0,2,0,0,0,0,2,0,2,1,0,3,1,0,2,0,0,0,16,0,2,2,2,3,1,3,6,5,2,2,2,1,1,2,2,4,5,0,0,3,0,0,2,1,4,0,6,1,6,2,5,3,0,3,4,5,9,6,2,2,0,5,5,4,5,3,2,3,2,4,2,4,5,2,6,3,1,6,5,3,3,6,5,4,4,7,6,2,0,1,0,1,1,1,2,2,0,2,0,5,5,5,2,0,2,0,5,2,1,3,2,4,3,3,5,7,3,7,4,2,7,3,3,1,2,6,5
ITEM-00041,0,4,0,6,1,1,2,1,5,5,0,1,2,0,1,0,3,0,1,1,0,2,3,0,0,3,2,3,1,0,2,4,1,1,0,0,0,0,0,18,3,5,4,6,2,1,1,7,3,2,4,2,3,1,0,4,3,0,0,4,0,2,5,1,0,2,5,2,4,4,5,3,0,1,8,3,9,6,6,5,1,0,1,2,13,3,2,2,4,5,4,5,4,4,5,5,5,4,2,5,4,4,5,3,2,9,5,2,0,0,2,1,1,2,2,0,1,2,0,7,6,3,1,5,2,3,2,4,3,1,3,5,5,2,7,9,5,8,4,7,3,1,6,1,0,3,5
ITEM-00042,1,7,1,4,1,2,6,2,7,4,1,2,1,3,0,3,0,0,2,3,1,1,1,0,1,0,2,2,3,2,0,0,2,0,1,1,4,0,2,3,22,1,1,4,0,2,6,7,2,2,3,2,5,1,2,5,6,3,2,2,2,3,3,5,3,1,6,5,2,1,5,2,4,10,6,6,12,0,8,1,3,4,7,1,6,2,4,2,7,5,5,5,4,4,8,9,5,8,5,3,6,6,5,10,10,9,3,3,1,1,1,1,0,2,1,0,2,3,1,4,11,0,2,1,2,4,2,3,2,3,5,8,5,4,6,10,10,9,5,6,5,2,5,0,2,6,5
ITEM-00043,0,4,0,3,0,0,0,0,5,2,1,3,3,0,1,1,1,0,3,3,0,1,2,1,0,0,2,1,0,1,1,1,2,0,1,2,0,0,2,5,1,17,1,2,4,3,6,6,2,4,2,2,3,3,2,4,3,2,4,3,1,2,9,2,2,0,7,6,9,0,2,1,0,1,5,0,7,6,0,3,0,1,3,1,12,1,3,3,4,4,6,5,3,2,5,5,3,5,5,3,2,4,5,4,5,5,5,1,1,0,2,1,2,0,1,1,2,3,1,8,3,0,2,1,2,1,3,2,1,0,4,4,2,3,5,10,5,7,4,5,6,4,3,0,2,5,8
ITEM-00044,0,4,1,8,1,0,1,0,5,6,0,2,5,0,1,1,2,0,1,3,1,2,0,1,0,0,1,0,1,2,2,4,1,2,2,0,1,1,2,4,1,1,21,5,1,4,5,10,3,0,2,0,2,3,1,6,1,2,3,4,1,1,0,6,2,1,3,3,10,6,4,5,4,5,4,7,13,9,4,2,2,1,6,1,4,5,0,0,6,5,5,3,4,5,5,8,4,6,1,7,3,8,6,4,7,9,5,1,3,0,1,1,2,2,2,0,2,4,3,7,4,6,0,2,5,4,1,3,4,1,3,7,4,4,8,8,8,8,6,6,6,4,5,1,5,3,7
ITEM-00045,1,9,0,7,1,1,0,2,2,10,2,2,4,1,3,1,1,1,2,1,1,3,3,1,1,3,0,3,0,1,1,3,3,2,0,5,3,5,3,6,4,2,5,31,3,7,0,11,6,3,4,3,4,3,1,6,4,1,3,2,2,6,2,8,5,2,9,10,6,5,4,5,2,8,3,5,20,5,10,9,6,3,12,3,16,2,6,6,7,9,5,10,4,4,10,8,11,11,5,10,10,0,8,3,9,15,9,4,3,3,3,1,5,4,2,4,1,2,1,8,4,8,3,5,1,6,2,2,5,2,8,10,5,10,10,11,9,13,6,9,6,9,9,2,5,7,7
ITEM-00046,0,2,0,5,0,0,1,0,4,4,0,0,2,1,3,1,2,0,0,1,0,2,1,0,0,0,1,1,0,0,1,0,1,1,1,3,1,2,1,2,0,4,1,3,12,2,3,5,0,2,3,0,0,0,2,6,2,2,0,0,0,2,3,1,1,0,4,2,3,2,3,4,0,1,2,3,0,7,1,4,0,0,4,0,5,2,2,5,4,2,2,4,2,2,4,5,1,2,1,4,2,1,3,4,5,5,3,1,2,0,0,2,2,0,0,1,0,4,1,1,2,3,1,2,1,0,1,1,0,0,2,2,4,2,4,12,6,3,4,4,2,3,1,0,0,2,4
ITEM-00047,0,3,1,2,1,0,1,0,2,2,1,2,3,1,0,1,0,1,2,2,0,2,0,0,0,1,1,0,1,1,1,1,2,1,1,0,2,3,3,1,2,3,4,7,2,16,2,7,2,1,3,1,2,2,1,7,1,1,1,1,1,1,1,2,2,0,4,3,6,1,5,1,1,1,1,4,12,5,5,7,0,2,6,2,7,0,2,3,2,3,3,6,3,0,5,4,4,2,3,6,2,4,7,2,8,6,7,2,2,1,1,0,0,3,1,3,1,1,3,2,5,1,3,3,0,3,2,1,2,1,4,6,5,3,1,4,5,4,3,7,4,7,4,0,3,4,5
ITEM-00048,0,7,2,6,2,1,5,3,5,9,2,4,4,3,2,2,1,4,1,4,1,1,2,1,1,1,2,0,1,4,1,1,2,1,2,3,0,4,6,1,6,6,5,0,3,2,34,6,4,6,2,4,5,7,4,6,9,8,2,4,1,4,6,4,4,1,12,7,11,4,6,6,4,10,6,7,14,5,8,5,3,7,16,2,15,5,6,4,9,11,8,6,7,7,9,12,7,11,7,9,9,0,11,9,7,16,9,3,1,2,2,1,1,4,4,2,0,6,5,10,7,9,5,5,3,5,8,3,1,4,8,11,2,8,14,20,13,12,9,7,9,6,8,1,3,10,12
ITEM-00049,1,7,1,14,4,5,2,1,6,12,3,7,7,3,3,4,2,2,2,4,2,2,3,2,1,1,2,1,0,3,2,3,3,2,2,4,3,5,5,7,7,6,10,11,5,7,6,43,7,6,6,5,6,6,4,5,5,2,4,9,5,4,6,6,5,2,8,9,13,7,12,4,4,9,9,10,24,10,14,8,7,6,12,1,15,6,5,8,13,7,6,11,11,5,14,13,9,12,7,9,7,20,12,11,15,8,13,4,2,2,4,3,4,2,5,1,5,1,4,7,8,11,5,6,7,5,4,4,6,6,7,15,9,11,16,19,15,15,11,13,12,8,12,2,2,10,14
ITEM-00050,0,6,1,5,0,2,3,1,6,5,2,2,0,1,1,0,0,1,1,2,2,2,1,1,1,3,0,0,0,0,1,1,1,2,0,1,1,2,2,3,2,2,3,6,0,2,4,7,20,2,3,1,0,4,0,5,1,0,2,2,4,2,1,5,2,3,3,3,4,2,3,2,3,4,3,4,10,4,4,5,5,3,11,1,9,3,1,4,2,5,5,5,4,5,11,8,6,5,4,7,5,8,3,4,3,2,5,3,0,1,2,1,2,3,2,0,5,1,2,9,3,1,4,6,0,2,1,2,3,1,3,8,1,6,7,10,5,10,6,5,4,6,6,0,3,6,6
ITEM-00051,0,3,0,5,1,0,1,0,3,4,1,0,0,1,0,3,2,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,3,0,1,2,2,2,4,0,3,2,1,6,6,2,15,1,1,3,2,1,5,3,3,2,0,1,3,6,3,2,0,6,4,3,1,3,3,1,3,4,4,4,4,6,5,1,0,5,2,7,4,4,3,1,6,4,2,2,2,6,4,5,3,5,3,1,4,0,2,3,6,0,1,0,0,1,0,4,1,2,0,1,1,0,4,3,1,2,2,1,1,2,1,1,3,4,2,2,6,5,11,7,8,9,4,1,1,5,0,2,7,2
ITEM-00052,0,2,0,3,1,1,4,0,4,3,0,1,1,0,1,1,1,0,1,4,0,0,1,0,1,2,1,0,1,0,1,0,2,0,1,2,1,1,2,4,3,2,2,4,3,3,2,6,3,1,15,0,2,0,1,3,1,1,1,0,0,1,2,1,2,2,4,2,4,2,3,0,1,2,5,6,8,5,6,2,2,2,4,1,4,6,1,3,3,3,2,5,2,2,5,6,4,4,1,3,1,5,6,3,5,9,3,3,1,1,1,1,2,1,2,0,0,2,2,6,5,3,1,2,2,1,1,2,2,0,6,4,3,1,3,7,7,5,5,6,3,3,3,0,1,4,4
ITEM-00053,2,4,0,8,0,1,1,1,2,6,2,2,4,0,0,0,1,0,0,1,1,0,2,0,1,2,2,0,0,1,0,1,1,0,0,1,2,3,1,2,2,2,0,3,0,1,4,5,1,1,0,15,2,0,2,6,3,0,1,2,1,0,2,1,2,1,6,2,2,2,7,2,2,3,2,2,10,3,4,3,4,3,5,2,6,0,5,1,5,2,2,2,3,3,6,5,3,4,4,5,3,6,2,2,4,5,5,4,0,2,2,1,1,0,1,1,0,0,2,7,3,4,1,3,2,3,3,0,0,1,1,4,1,8,4,5,5,5,2,7,3,4,2,2,1,1,5
ITEM-00054,1,5,0,2,0,0,3,1,2,4,1,3,2,2,0,3,1,1,1,0,0,0,1,1,1,0,2,0,1,0,0,1,0,0,1,2,1,0,1,3,5,3,2,4,0,2,5,6,0,3,2,2,15,2,2,4,0,1,2,1,1,1,4,2,0,0,4,1,4,1,2,3,3,3,3,3,9,3,4,2,2,1,4,1,8,1,7,1,0,6,3,8,1,1,6,4,3,5,5,2,1,4,3,4,4,6,2,3,1,0,1,1,2,0,2,0,0,2,1,5,4,0,5,0,3,3,0,0,0,1,7,6,3,3,4,6,7,6,5,4,5,3,3,1,0,5,4
ITEM-00055,1,4,0,4,1,1,1,1,6,3,2,2,3,1,0,1,0,3,1,2,1,1,0,2,0,1,0,0,0,2,0,2,1,0,1,3,1,2,2,1,1,3,3,3,0,2,7,6,4,2,0,0,2,18,2,1,1,1,0,3,3,1,1,2,1,1,7,1,6,0,2,1,4,4,1,5,9,3,7,2,3,4,6,1,6,2,3,4,3,2,4,8,3,5,4,4,3,5,4,6,6,7,5,3,3,7,7,1,3,0,3,0,2,0,2,2,2,0,1,7,6,4,4,2,4,6,2,0,1,1,5,8,2,7,7,9,4,7,1,6,5,3,7,1,2,5,5
ITEM-00056,0,3,0,3,1,0,2,0,3,4,0,1,2,1,0,1,1,0,0,0,1,2,0,1,1,1,0,0,0,2,0,0,0,0,0,3,2,1,2,0,2,2,1,1,2,1,4,4,0,1,1,2,2,2,11,3,1,1,1,1,0,1,2,3,1,0,4,3,3,0,2,2,0,5,2,2,5,6,2,1,1,1,3,1,4,1,3,0,3,3,2,5,0,4,4,4,2,5,3,1,0,4,2,2,3,5,2,0,0,1,0,1,0,0,0,0,0,1,1,2,5,4,4,1,0,1,3,1,2,0,2,1,1,4,3,6,6,3,2,5,4,1,1,1,0,3,1
ITEM-00057,3,7,1,11,0,2,5,3,8,9,5,2,4,3,1,0,1,1,2,2,2,5,2,0,1,1,2,0,1,3,1,2,0,1,3,2,4,6,4,4,5,4,6,6,6,7,6,5,5,5,3,6,4,1,3,33,4,6,2,3,0,1,5,6,4,0,10,5,8,3,12,6,4,9,4,6,13,11,10,7,4,4,9,7,14,3,7,2,8,5,8,9,7,6,11,9,7,10,7,8,0,8,6,6,12,13,7,2,1,1,2,3,5,3,0,3,2,4,1,4,4,6,5,6,7,4,6,5,3,1,9,6,6,8,10,20,14,12,12,14,7,11,8,3,3,9,7
ITEM-00058,0,7,1,5,3,2,1,2,6,4,2,0,3,1,2,1,1,0,1,2,0,3,2,0,1,1,1,1,2,3,0,1,2,0,1,1,1,2,5,3,6,3,1,4,2,1,9,5,1,3,1,3,0,1,1,4,22,4,2,3,2,2,3,0,3,1,9,5,5,2,2,2,0,4,3,3,9,6,8,4,1,5,7,2,11,2,3,6,7,7,4,6,3,7,9,6,5,6,3,5,8,5,6,6,4,8,4,2,0,3,2,1,1,3,3,2,0,2,2,8,8,5,3,3,1,4,4,2,2,3,7,5,3,6,9,13,11,7,6,4,4,5,4,1,1,4,5
ITEM-00059,0,3,1,1,1,0,2,0,2,2,3,1,2,3,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,2,2,1,2,1,8,2,0,3,1,0,1,1,1,6,4,12,0,0,0,3,1,2,3,0,2,4,3,0,3,2,0,3,1,1,2,2,4,3,0,1,5,3,5,2,1,2,5,3,3,2,3,4,1,5,3,4,2,1,2,2,2,5,1,7,2,1,0,0,0,1,2,2,0,0,0,2,0,2,3,3,1,1,2,3,2,2,1,2,7,2,1,6,4,10,8,2,5,5,0,0,2,0,2,6,3
ITEM-00060,0,4,0,1,1,0,1,0,4,1,1,4,1,0,1,1,0,0,0,2,1,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,4,3,3,0,1,2,4,2,2,1,1,2,0,1,2,2,0,11,2,0,3,4,3,4,0,5,6,4,0,1,0,0,2,3,3,7,3,3,2,2,0,2,1,4,2,2,0,1,3,2,4,2,2,4,2,3,2,4,3,4,3,2,1,5,4,2,0,2,1,0,1,1,1,1,1,1,1,0,4,3,0,4,0,1,2,1,1,1,0,2,2,1,0,4,4,6,3,2,1,4,4,3,0,2,4,3
ITEM-00061,0,2,0,3,2,2,1,3,6,4,2,3,3,1,0,2,2,1,0,2,0,3,2,1,0,0,1,1,1,0,0,0,0,0,2,2,1,2,3,4,2,3,4,2,0,1,4,9,2,0,0,2,1,3,1,3,3,0,2,18,0,1,0,0,2,2,6,4,8,2,3,2,3,2,5,2,8,5,6,1,5,3,5,4,10,1,2,2,5,2,6,4,6,4,4,6,3,4,3,5,4,9,8,4,5,4,5,0,0,0,2,2,2,1,3,1,3,1,1,5,7,7,1,1,4,2,4,2,1,2,3,5,2,2,3,10,4,9,4,6,4,4,5,1,0,5,6
ITEM-00062,1,2,1,5,0,1,0,1,4,2,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,2,1,1,2,0,1,1,5,4,1,0,1,1,3,0,0,2,0,0,0,10,0,2,4,1,2,0,3,4,2,1,1,0,3,3,1,8,4,1,3,0,3,5,0,4,0,2,2,1,3,2,5,1,2,5,5,2,4,2,2,0,6,0,2,0,2,5,1,1,0,3,1,2,0,0,0,2,0,0,5,3,1,3,2,1,1,1,0,1,1,4,3,0,1,3,2,3,2,1,5,4,3,1,0,1,3,3
ITEM-00063,0,5,0,4,2,0,2,0,6,4,0,0,1,1,1,0,1,1,1,1,2,0,1,0,1,0,1,1,2,1,0,1,1,1,1,2,2,2,0,2,3,2,1,6,2,1,4,4,2,3,1,0,1,1,1,1,2,3,3,1,0,16,2,2,1,1,4,7,4,3,4,2,0,4,2,3,6,2,5,4,2,2,8,2,6,4,4,2,4,5,2,5,4,3,5,5,6,1,5,7,7,3,2,2,6,5,3,1,1,0,0,2,1,3,2,1,1,4,2,5,6,2,1,3,1,1,1,1,1,2,3,3,2,3,4,10,5,8,3,4,2,4,4,0,3,5,4
ITEM-00064,0,3,0,5,1,0,3,0,4,3,0,2,3,0,1,2,2,1,2,0,0,3,1,1,0,1,2,1,1,1,1,1,1,0,0,3,0,0,2,5,3,9,0,2,3,1,6,6,1,6,2,2,4,1,2,5,3,1,4,0,2,2,18,3,1,1,6,4,7,2,2,2,0,2,5,2,8,4,1,2,1,0,4,2,11,2,6,2,2,5,4,6,4,3,6,7,3,6,9,4,1,5,3,2,4,5,5,2,0,0,2,1,4,0,1,1,0,2,1,10,3,2,5,2,1,1,3,1,1,0,5,6,2,3,7,10,7,6,6,5,6,5,3,0,1,7,7
ITEM-00065,2,6,1,5,0,1,1,1,6,4,2,3,0,0,0,2,0,1,2,2,2,2,0,0,1,1,1,1,0,0,1,1,1,2,3,2,1,2,1,1,5,2,6,8,1,2,4,6,5,3,1,1,2,2,3,6,0,2,3,0,4,2,3,20,3,1,6,5,5,1,3,2,3,5,5,5,12,4,2,4,1,4,6,2,5,1,5,1,6,4,5,7,0,5,9,7,6,9,3,5,1,5,5,4,7,10,4,1,2,1,2,2,2,0,1,0,3,2,1,6,4,4,2,3,3,3,2,1,0,1,5,4,3,3,7,8,9,7,9,6,4,5,4,0,3,4,7
ITEM-00066,1,5,1,1,0,0,0,0,5,4,5,3,1,3,2,2,1,1,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,1,4,0,3,2,2,5,1,2,4,5,2,2,2,2,0,1,1,4,3,3,4,2,1,1,1,3,17,1,5,5,7,1,5,2,1,3,1,4,6,3,4,4,0,3,4,5,4,2,2,3,4,4,3,4,4,5,5,2,4,4,5,5,6,6,2,3,4,9,5,1,1,2,2,2,2,2,0,2,1,2,2,4,7,3,2,3,0,2,2,1,0,3,4,6,1,6,7,11,6,6,4,6,1,4,2,0,3,9,6
ITEM-00067,0,0,0,2,0,1,0,0,5,2,0,0,1,0,0,1,2,0,0,0,1,0,1,1,2,1,0,0,2,0,0,1,0,0,0,1,0,1,0,2,1,0,1,2,0,0,1,2,3,0,2,1,0,1,0,0,1,0,0,2,2,1,1,1,1,9,1,0,2,1,1,1,3,2,2,2,5,3,3,3,2,0,6,1,5,1,1,3,1,3,3,2,0,3,2,3,2,1,3,3,3,3,3,2,0,4,3,0,1,0,0,0,2,0,0,1,0,0,0,4,4,1,1,3,1,2,2,1,2,1,4,5,3,4,0,4,3,3,3,1,2,1,1,0,0,4,1
ITEM-00068,1,8,1,11,3,1,4,3,10,10,2,5,2,1,0,3,0,2,0,4,1,5,1,1,2,2,2,1,2,3,0,2,0,0,2,7,1,4,6,5,6,7,3,9,4,4,12,8,3,6,4,6,4,7,4,10,9,2,5,6,0,4,6,6,5,1,35,8,6,3,7,5,0,6,5,8,18,9,11,3,5,6,10,4,18,5,6,6,5,10,7,13,5,5,8,4,9,10,9,9,8,9,8,4,9,19,10,3,1,2,0,6,6,1,4,4,1,4,5,9,12,7,5,7,3,3,6,4,3,4,4,7,5,9,5,17,10,15,11,6,10,8,6,2,4,8,9
ITEM-00069,1,5,1,5,2,2,2,2,5,5,2,3,5,2,1,0,0,0,1,1,2,1,4,0,1,2,0,0,1,1,2,1,0,0,1,3,0,3,1,2,5,6,3,10,2,3,7,9,3,4,2,2,1,1,3,5,5,4,6,4,3,7,4,5,5,0,8,24,9,3,3,3,0,5,3,3,13,5,7,6,4,1,11,2,10,4,3,3,6,6,5,6,8,3,3,6,8,3,7,7,6,6,5,6,7,7,8,1,2,1,3,2,0,2,1,2,3,2,2,5,7,5,4,2,3,3,4,1,4,2,3,3,2,4,7,11,7,9,6,4,8,7,3,0,5,9,5
ITEM-00070,1,7,1,7,2,2,1,3,16,7,1,5,8,3,2,3,1,1,4,4,0,1,3,2,0,2,2,0,2,2,0,1,3,0,3,3,0,5,6,4,2,9,10,6,3,6,11,13,4,3,4,2,4,6,3,8,5,3,4,8,4,4,7,5,7,2,6,9,37,2,2,8,4,7,10,7,18,11,8,7,2,4,7,7,18,6,9,4,8,7,8,12,8,9,7,8,9,10,8,10,6,14,8,5,11,12,11,0,2,1,7,5,5,3,4,2,3,3,4,12,8,6,4,4,6,5,7,4,6,1,10,8,3,5,12,19,12,14,8,12,11,9,5,1,4,15,13
ITEM-00071,1,6,1,5,1,0,0,2,2,6,1,1,2,0,2,0,1,1,1,1,1,1,2,0,0,1,2,1,1,1,4,3,2,1,0,4,1,1,2,4,1,0,6,5,2,1,4,7,2,1,2,2,1,0,0,3,2,0,0,2,2,3,2,1,1,1,3,3,2,18,4,1,2,3,2,4,10,9,3,3,4,1,6,0,5,4,3,3,5,4,7,3,3,4,5,6,5,0,3,6,4,6,5,5,4,9,3,4,0,1,1,0,2,3,0,0,1,3,2,8,7,5,2,4,3,1,3,3,1,0,4,7,3,4,6,8,6,9,4,4,6,4,7,0,2,2,5
ITEM-00072,2,4,1,10,2,2,2,0,5,7,4,1,2,3,0,2,1,2,1,2,1,1,0,0,1,0,3,0,1,1,2,4,2,1,1,2,4,4,5,5,5,2,4,4,3,5,6,12,3,3,3,7,2,2,2,12,2,3,1,3,1,4,2,3,5,1,7,3,2,4,26,1,1,9,5,5,10,7,8,5,2,5,4,5,11,2,5,3,9,6,4,7,6,4,2,7,5,4,8,6,4,9,6,7,10,11,7,4,0,2,0,3,3,2,3,1,1,4,0,7,6,5,3,6,4,3,4,4,1,4,2,7,3,9,7,16,10,9,5,12,5,1,8,1,3,6,7
ITEM-00073,0,4,1,7,1,0,3,3,7,10,0,3,2,1,1,2,1,0,1,2,1,2,1,0,1,1,1,1,0,2,1,2,0,0,2,2,1,2,3,3,2,1,5,5,4,1,6,4,2,3,0,2,3,1,2,6,2,2,0,2,1,2,2,2,2,1,5,3,8,1,1,19,3,1,2,6,5,6,3,5,0,4,11,3,5,4,3,3,3,8,2,6,3,5,5,5,6,4,6,3,5,5,5,2,4,10,1,1,1,0,0,5,1,1,1,1,0,2,2,3,7,6,1,1,0,3,2,2,3,1,5,5,3,5,3,14,8,10,5,6,3,3,2,1,1,3,8
ITEM-00074,2,2,0,2,0,1,2,1,6,5,1,1,2,0,0,2,1,1,1,2,1,0,0,1,0,1,1,0,1,0,0,0,0,1,2,0,0,0,0,0,4,0,4,2,0,1,4,4,3,1,1,2,3,4,0,4,0,0,0,3,0,0,0,3,1,3,0,0,4,2,1,3,14,4,2,2,7,3,4,0,2,2,8,1,2,3,5,3,4,1,5,5,0,3,6,2,3,0,4,8,4,5,4,1,6,5,2,2,2,1,2,0,0,1,2,0,2,0,0,4,4,1,2,1,3,5,1,1,1,1,4,8,3,5,2,7,5,7,3,5,2,4,6,0,1,6,5
ITEM-00075,1,8,1,8,2,0,5,0,9,8,1,1,3,3,0,1,3,3,1,0,1,1,1,1,1,2,0,0,1,3,0,1,2,1,1,3,3,4,3,1,10,1,5,8,1,1,10,9,4,3,2,3,3,4,5,9,4,3,2,2,3,4,2,5,3,2,6,5,7,3,9,1,4,29,5,6,11,5,11,6,5,4,8,2,11,2,7,2,8,4,8,7,3,8,8,7,5,9,5,10,4,8,5,6,10,11,7,4,2,3,2,1,3,1,4,2,3,4,3,5,8,4,4,6,3,3,1,3,4,2,8,8,5,11,10,18,10,12,7,8,10,6,8,2,5,8,7
ITEM-00076,1,5,0,8,4,2,3,1,8,6,3,3,1,1,0,3,2,0,2,3,0,1,1,0,1,2,2,0,1,0,0,1,3,0,3,1,1,1,4,8,6,5,4,3,2,1,6,9,3,4,5,2,3,1,2,4,3,1,3,5,3,2,5,5,1,2,5,3,10,2,5,2,2,5,24,3,14,10,4,3,3,0,0,5,15,4,6,5,2,3,3,4,4,6,9,8,3,7,5,4,2,9,6,8,7,11,5,1,2,1,1,2,2,2,1,0,3,4,0,8,10,4,0,3,4,2,7,7,4,1,7,4,2,2,6,10,11,8,5,11,6,3,7,1,0,5,7
ITEM-00077,0,6,1,6,1,1,4,1,8,5,0,3,2,1,1,4,0,2,2,3,1,1,0,0,1,2,3,0,1,4,1,3,3,0,2,4,3,0,5,3,6,0,7,5,3,4,7,10,4,4,6,2,3,5,2,6,3,1,3,2,1,3,2,5,4,2,8,3,7,4,5,6,2,6,3,26,12,4,10,6,2,4,14,3,0,5,4,4,2,4,5,3,5,5,8,8,5,8,4,8,5,8,7,7,8,15,9,2,3,0,1,2,2,1,3,1,1,3,4,5,11,6,2,3,3,3,3,3,2,2,6,10,6,1,7,14,10,7,9,6,6,3,7,1,2,7,6
ITEM-00078,4,13,1,20,4,5,6,4,15,18,4,7,9,2,2,5,1,4,6,3,5,3,4,2,2,4,4,1,3,2,3,9,6,1,4,6,4,5,9,9,12,7,13,20,0,12,14,24,10,4,8,10,9,9,5,13,9,2,7,8,8,6,8,12,6,5,18,13,18,10,10,5,7,11,14,12,64,16,22,14,8,11,22,3,29,8,14,7,13,11,12,17,13,12,22,19,15,18,11,14,15,20,17,13,19,20,18,6,4,4,5,4,6,6,6,4,2,3,7,25,17,13,8,10,11,13,10,6,14,5,13,24,11,17,18,0,21,25,13,16,20,19,14,2,6,14,19
ITEM-00079,0,10,1,9,2,1,3,1,12,13,0,1,7,1,1,2,3,0,1,2,3,4,2,0,1,3,3,0,1,2,3,2,3,0,2,3,2,3,6,6,0,6,9,5,7,5,5,10,4,4,5,3,3,3,6,11,6,2,3,5,4,2,4,4,3,3,9,5,11,9,7,6,3,5,10,4,16,34,4,6,1,3,10,2,14,6,6,8,7,6,6,16,4,9,8,11,1,4,1,9,4,16,7,7,7,13,11,2,3,2,1,3,1,2,3,3,2,7,2,14,11,9,6,6,5,6,7,3,5,2,9,6,8,8,8,18,10,13,10,11,9,7,6,1,4,8,8
ITEM-00080,3,8,0,10,4,5,4,2,10,6,3,3,4,4,0,2,3,3,0,3,2,1,2,0,0,4,2,0,1,3,0,2,0,0,2,5,3,4,2,6,8,0,4,10,1,5,8,14,4,6,6,4,4,7,2,10,8,4,3,6,1,5,1,2,4,3,11,7,8,3,8,3,4,11,4,10,22,4,35,8,6,6,12,2,14,4,10,4,6,7,5,8,9,7,10,12,7,7,1,6,6,10,10,5,13,11,5,4,2,3,2,4,3,3,3,3,0,3,3,9,9,6,4,8,4,9,4,5,5,4,9,9,7,12,10,13,17,13,11,10,8,9,11,1,1,7,5
ITEM-00081,1,5,0,8,1,1,1,3,8,8,3,3,3,2,0,0,2,1,1,1,2,2,2,1,1,4,3,1,0,1,2,3,2,0,1,1,2,4,2,5,1,3,2,9,4,7,5,8,5,5,2,3,2,2,1,7,4,3,2,1,3,4,2,4,4,3,3,6,7,3,5,5,0,6,3,6,14,6,8,26,2,2,9,2,12,1,1,4,6,4,6,8,4,8,12,4,8,7,6,7,7,9,7,4,6,9,9,1,2,2,2,2,1,2,2,1,1,3,4,8,7,2,1,5,3,4,2,3,5,3,5,8,5,7,7,12,7,10,6,6,7,8,7,1,1,6,6
