"匿名答卷编号","提交时间（北京时间）","答卷综合得分率（%）","题号","题目编号","题目标题","素材模态","能力类型","选项形式","题目分值","本题候选情绪","用户选择情绪","用户情绪强度","标准情绪","标准情绪强度","是否看过素材","作答状态","标签得分率（%）","强度得分率（%）","单题综合得分率（%）","单题实得分","作答用时（秒）","修改次数"
"ZJ202608160816DE75","2026-08-16 11:46:40","36.04","5","ITEM-00120","105","图像","情绪识别","单选题","3.50","自豪｜崇拜｜轻松｜尴尬｜兴奋｜紧张｜自满｜怨恨｜平静｜厌倦","尴尬","4","紧张","3","是","已作答","0.00","0.00","0.00","0.00","54.85","8"
"ZJ202608160816DE75","2026-08-16 11:46:40","36.04","6","ITEM-00101","55","视频","情绪推理","多选题","4.50","紧张｜爱｜羡慕｜感动｜尴尬｜烦躁｜惊喜｜困惑｜敌意｜厌恶","困惑","4","尴尬｜困惑","4｜4","未填写","已作答","66.67","50.00","60.00","2.70","90.70","4"
"ZJ202608160816DE75","2026-08-16 11:46:40","36.04","7","ITEM-00049","17","音频","情绪识别","单选题","3.50","审美欣赏｜失望｜敌意｜悲伤｜轻松｜委屈｜希望｜尴尬｜不屑｜愁闷","希望","5","敌意","4","是","已作答","0.00","0.00","0.00","0.00","69.12","5"
"ZJ202608160816DE75","2026-08-16 11:46:40","36.04","8","ITEM-00124","22","音频","情绪识别","单选题","3.50","爱｜释然｜不屑｜好奇｜恐惧｜抑郁｜尴尬｜遗憾｜痛苦｜快乐","不屑","4","释然","3","未填写","已作答","0.00","0.00","0.00","0.00","83.60","3"
"ZJ202608160816DE75","2026-08-16 11:46:40","36.04","9","ITEM-00014","1","视频","情绪识别","单选题","3.50","担忧｜怀旧｜愤怒｜崇拜｜惊喜｜自豪｜轻松｜紧张｜冷静｜蔑视","崇拜","4","崇拜","5","否","已作答","100.00","75.00","90.00","3.15","53.97","7"
"ZJ202608160816DE75","2026-08-16 11:46:40","36.04","10","ITEM-00143","71","文本","情绪推理","单选题","3.50","审美欣赏｜内疚｜焦虑｜羡慕｜困惑｜兴奋｜不屑｜失望｜痛苦｜绝望","绝望","4","不屑","3","未填写","已作答","0.00","0.00","0.00","0.00","31.02","3"
"ZJ202608160816DE75","2026-08-16 11:46:40","36.04","11","ITEM-00139","37","图像","情绪推理","多选题","4.50","内疚｜愤怒｜焦虑｜嫉妒｜感动｜感激｜厌倦｜敬畏｜怀旧｜悲伤","敬畏","4","焦虑｜敬畏","3｜4","未填写","已作答","66.67","50.00","60.00","2.70","20.55","3"
"ZJ202608160816DE75","2026-08-16 11:46:40","36.04","12","ITEM-00114","38","图像","情绪识别","单选题","3.50","遗憾｜羡慕｜抑郁｜愁闷｜惊讶｜悲伤｜内疚｜平静｜轻松｜困惑","困惑","4","遗憾","4","未填写","已作答","0.00","0.00","0.00","0.00","16.91","3"
"ZJ202608160816DE75","2026-08-16 11:46:40","36.04","13","ITEM-00010","63","文本","情绪识别","多选题","4.50","轻松｜羞耻｜兴奋｜失望｜平静｜怨恨｜惊喜｜悲伤｜烦躁｜感激","平静｜兴奋","4｜4","惊喜｜兴奋","4｜4","未填写","已作答","50.00","50.00","50.00","2.25","40.36","5"
"ZJ202608160816DE75","2026-08-16 11:46:40","36.04","14","ITEM-00126","86","视频","情绪识别","多选题","4.50","释然｜惊喜｜满足｜愉悦｜厌恶｜崇拜｜内疚｜渴望｜惊讶｜愤怒","惊讶","4","惊讶｜愉悦","4｜5","未填写","已作答","66.67","50.00","60.00","2.70","32.21","3"
"ZJ202608160816DE75","2026-08-16 11:46:40","36.04","15","ITEM-00094","88","音频","情绪识别","多选题","4.50","内疚｜共情痛苦｜愉悦｜兴奋｜厌倦｜焦虑｜烦躁｜渴望｜兴趣｜震惊","愉悦","4","渴望｜兴趣","4｜5","未填写","已作答","0.00","0.00","0.00","0.00","17.16","3"
"ZJ202608160816DE75","2026-08-16 11:46:40","36.04","16","ITEM-00070","119","文本","情绪识别","多选题","4.50","轻松｜痛苦｜紧张｜兴趣｜愁闷｜怀旧｜困惑｜愉悦｜震惊｜厌恶","困惑","4","困惑｜痛苦","4｜5","未填写","已作答","66.67","50.00","60.00","2.70","26.80","3"
"ZJ202608160816DE75","2026-08-16 11:46:40","36.04","17","ITEM-00050","92","图像","情绪识别","多选题","4.50","兴奋｜怨恨｜敌意｜委屈｜担忧｜轻松｜感激｜满足｜愉悦｜尴尬","怨恨","4","敌意｜怨恨","5｜5","未填写","已作答","66.67","37.50","55.00","2.47","11.78","3"
"ZJ202608160816DE75","2026-08-16 11:46:40","36.04","18","ITEM-00084","78","音频","情绪推理","多选题","4.50","不屑｜烦躁｜愉悦｜尴尬｜恐惧｜蔑视｜羞耻｜敌意｜紧张｜震惊","蔑视","4","羞耻｜烦躁","4｜5","未填写","已作答","0.00","0.00","0.00","0.00","19.17","3"
"ZJ202608160816DE75","2026-08-16 11:46:40","36.04","19","ITEM-00110","59","文本","情绪推理","多选题","4.50","好奇｜惊讶｜满足｜审美欣赏｜蔑视｜怨恨｜遗憾｜痛苦｜抑郁｜恐惧","遗憾｜痛苦","4｜5","痛苦｜抑郁","4｜4","未填写","已作答","50.00","37.50","45.00","2.02","31.99","6"
"ZJ202608160816DE75","2026-08-16 11:46:40","36.04","20","ITEM-00149","60","视频","情绪推理","单选题","2.50","自满｜绝望｜焦虑｜担忧｜感动｜委屈｜遗憾｜痛苦｜厌倦｜快乐","担忧","4","担忧","4","未填写","已作答","100.00","100.00","100.00","2.50","31.00","3"
"ZJ202608160816DE75","2026-08-16 11:46:40","36.04","21","ITEM-00069","117","文本","情绪识别","多选题","4.50","惊喜｜愉悦｜愁闷｜担忧｜爱｜怀旧｜蔑视｜感激｜怨恨｜轻松","爱","4","感激｜爱｜愉悦","4｜4｜5","未填写","已作答","50.00","33.33","43.33","1.95","26.14","3"
"ZJ202608160816DE75","2026-08-16 11:46:40","36.04","22","ITEM-00066","113","图像","情绪识别","多选题","4.50","愉悦｜悲伤｜羡慕｜绝望｜痛苦｜羞耻｜愤怒｜抑郁｜渴望｜怀旧","渴望","4","渴望｜痛苦｜悲伤｜绝望","4｜5｜5｜5","未填写","已作答","40.00","25.00","34.00","1.53","14.45","3"
"ZJ202608160816DE75","2026-08-16 11:46:40","36.04","23","ITEM-00062","23","文本","情绪识别","单选题","3.50","蔑视｜平静｜轻松｜遗憾｜惊喜｜羞耻｜痛苦｜焦虑｜满足｜兴奋","惊喜","4","惊喜","5","未填写","已作答","100.00","75.00","90.00","3.15","17.94","3"
"ZJ202608160816DE75","2026-08-16 11:46:40","36.04","24","ITEM-00105","2","音频","情绪推理","多选题","4.50","内疚｜嫉妒｜烦躁｜愁闷｜爱｜紧张｜惊喜｜愉悦｜自豪｜焦虑","紧张","4","焦虑｜紧张｜内疚","4｜5｜4","未填写","已作答","50.00","25.00","40.00","1.80","20.97","3"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","1","ITEM-00078","89","图像","情绪推理","多选题","4.50","自满｜不屑｜满足｜崇拜｜愉悦｜内疚｜痛苦｜悲伤｜遗憾｜怨恨","悲伤｜痛苦｜遗憾","4｜4｜5","内疚｜悲伤","4｜3","否","已作答","40.00","37.50","39.00","1.75","53.09","10"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","2","ITEM-00135","68","文本","情绪识别","多选题","4.50","焦虑｜嫉妒｜不屑｜崇拜｜感激｜痛苦｜绝望｜失望｜共情痛苦｜惊吓","惊吓｜不屑","5｜4","不屑｜惊吓","5｜4","否","已作答","100.00","75.00","90.00","4.05","56.77","7"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","3","ITEM-00134","67","文本","情绪识别","多选题","4.50","悲伤｜兴奋｜紧张｜惊讶｜感动｜感激｜厌倦｜敌意｜不屑｜尴尬","敌意｜不屑","5｜4","不屑｜敌意","5｜3","否","已作答","100.00","62.50","85.00","3.83","38.09","6"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","4","ITEM-00123","8","音频","情绪识别","单选题","3.50","失望｜悲伤｜轻松｜嫉妒｜惊喜｜爱｜快乐｜绝望｜好奇｜感激","绝望","4","绝望","4","是","已作答","100.00","100.00","100.00","3.50","40.97","6"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","5","ITEM-00083","73","视频","情绪识别","多选题","4.50","愉悦｜内疚｜冷静｜遗憾｜爱｜共情痛苦｜悲伤｜厌倦｜蔑视｜释然","爱｜遗憾","5｜4","爱｜释然","5｜5","否","已作答","50.00","50.00","50.00","2.25","101.70","6"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","6","ITEM-00081","58","视频","情绪识别","多选题","4.50","痛苦｜紧张｜厌恶｜愉悦｜震惊｜焦虑｜希望｜怀旧｜担忧｜审美欣赏","震惊｜审美欣赏","3｜5","审美欣赏｜怀旧","5｜3","否","已作答","50.00","50.00","50.00","2.25","130.07","9"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","7","ITEM-00095","59","文本","情绪识别","多选题","4.50","困惑｜羞耻｜烦躁｜失望｜怨恨｜内疚｜抑郁｜愤怒｜惊讶｜痛苦","内疚｜羞耻｜抑郁","5｜4｜4","内疚｜痛苦","5｜5","否","已作答","40.00","50.00","44.00","1.98","57.40","8"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","8","ITEM-00137","69","音频","情绪识别","多选题","4.50","紧张｜愤怒｜愉悦｜轻视｜惊讶｜厌恶｜感动｜委屈｜感激｜审美欣赏","愤怒｜轻视｜厌恶","4｜5｜3","愤怒｜轻视","4｜4","是","已作答","80.00","87.50","83.00","3.73","45.31","17"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","9","ITEM-00002","6","视频","情绪推理","单选题","3.50","羡慕｜冷静｜抑郁｜审美欣赏｜惊喜｜羞耻｜悲伤｜快乐｜感动｜渴望","感动","4","感动","3","是","已作答","100.00","75.00","90.00","3.15","39.40","3"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","10","ITEM-00105","2","音频","情绪推理","多选题","4.50","释然｜满足｜敌意｜焦虑｜委屈｜快乐｜痛苦｜紧张｜内疚｜审美欣赏","内疚｜紧张","5｜3","焦虑｜紧张｜内疚","4｜5｜4","否","已作答","80.00","41.67","64.67","2.91","46.72","5"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","11","ITEM-00079","61","视频","情绪推理","多选题","4.50","委屈｜平静｜厌恶｜紧张｜焦虑｜共情痛苦｜烦躁｜悲伤｜困惑｜厌倦","委屈｜平静","4｜5","委屈｜悲伤","3｜3","是","已作答","50.00","37.50","45.00","2.02","29.94","8"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","12","ITEM-00008","30","图像","情绪识别","单选题","3.50","厌倦｜尴尬｜失望｜惊讶｜困惑｜平静｜感动｜兴趣｜共情痛苦｜敌意","共情痛苦","4","困惑","3","否","已作答","0.00","0.00","0.00","0.00","46.55","3"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","13","ITEM-00130","104","图像","情绪识别","多选题","4.50","感动｜痛苦｜抑郁｜不屑｜好奇｜震惊｜悲伤｜紧张｜敌意｜愤怒","震惊｜悲伤","4｜5","愤怒｜震惊","5｜4","是","已作答","50.00","50.00","50.00","2.25","19.52","6"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","14","ITEM-00124","22","音频","情绪识别","单选题","3.50","敌意｜震惊｜悲伤｜委屈｜蔑视｜希望｜嫉妒｜释然｜渴望｜平静","释然","4","释然","3","否","已作答","100.00","75.00","90.00","3.15","70.06","6"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","15","ITEM-00104","23","文本","情绪推理","单选题","3.50","愤怒｜怨恨｜渴望｜紧张｜冷静｜爱｜感动｜恐惧｜悲伤｜兴奋","兴奋","5","兴奋","5","否","已作答","100.00","100.00","100.00","3.50","33.20","4"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","16","ITEM-00037","50","文本","情绪识别","单选题","3.50","蔑视｜感动｜轻松｜希望｜焦虑｜爱｜敌意｜厌倦｜惊讶｜自满","蔑视","4","蔑视","3","否","已作答","100.00","75.00","90.00","3.15","26.54","3"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","17","ITEM-00150","86","视频","情绪推理","多选题","4.50","快乐｜不屑｜失望｜好奇｜自豪｜悲伤｜渴望｜怀旧｜共情痛苦｜满足","自豪","4","满足｜快乐","4｜3","否","已作答","0.00","0.00","0.00","0.00","56.62","3"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","18","ITEM-00140","63","文本","情绪推理","多选题","4.50","释然｜蔑视｜自豪｜痛苦｜好奇｜自满｜满足｜惊喜｜烦躁｜兴奋","好奇｜惊喜","5｜5","惊喜｜兴奋","4｜4","否","已作答","50.00","37.50","45.00","2.02","33.68","6"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","19","ITEM-00084","78","音频","情绪推理","多选题","4.50","怨恨｜烦躁｜轻松｜兴奋｜怀旧｜羞耻｜困惑｜失望｜绝望｜自满","烦躁｜怨恨｜失望","3｜5｜3","羞耻｜烦躁","4｜5","否","已作答","40.00","25.00","34.00","1.53","38.32","8"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","20","ITEM-00093","75","音频","情绪识别","多选题","4.50","敌意｜感激｜震惊｜失望｜共情痛苦｜悲伤｜希望｜遗憾｜委屈｜愉悦","失望｜悲伤｜委屈","3｜4｜5","委屈｜悲伤","5｜5","否","已作答","80.00","87.50","83.00","3.73","60.78","13"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","21","ITEM-00021","14","视频","情绪识别","单选题","3.50","紧张｜怀旧｜爱｜悲伤｜痛苦｜自豪｜兴趣｜厌恶｜厌倦｜审美欣赏","兴趣","4","怀旧","4","否","已作答","0.00","0.00","0.00","0.00","59.39","6"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","22","ITEM-00071","91","图像","情绪识别","多选题","4.50","嫉妒｜震惊｜释然｜自豪｜失望｜自满｜满足｜惊讶｜烦躁｜兴趣","释然｜失望","4｜3","失望｜震惊","5｜5","否","已作答","50.00","25.00","40.00","1.80","37.17","6"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","23","ITEM-00132","37","图像","情绪识别","多选题","4.50","不屑｜蔑视｜崇拜｜平静｜愉悦｜恭敬｜轻松｜敌意｜恐惧｜尴尬","恭敬｜恐惧｜蔑视｜不屑","5｜3｜3｜4","平静｜恭敬","5｜5","否","已作答","33.33","50.00","40.00","1.80","49.63","10"
"ZJ20260816A6976749","2026-08-16 11:46:11","54.37","24","ITEM-00032","41","图像","情绪识别","单选题","3.50","释然｜爱｜愉悦｜愁闷｜自满｜渴望｜满足｜困惑｜兴趣｜抑郁","满足","4","愉悦","4","否","已作答","0.00","0.00","0.00","0.00","19.73","3"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","1","ITEM-00082","72","视频","情绪识别","多选题","4.50","紧张｜抑郁｜焦虑｜委屈｜平静｜蔑视｜绝望｜敌意｜厌倦｜感动","紧张｜焦虑","5｜4","焦虑｜紧张","4｜5","否","已作答","100.00","100.00","100.00","4.50","90.44","6"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","2","ITEM-00092","66","音频","情绪识别","多选题","4.50","不屑｜震惊｜痛苦｜渴望｜自豪｜烦躁｜内疚｜厌倦｜感激｜悲伤","悲伤｜痛苦｜烦躁","5｜4｜4","内疚｜痛苦｜悲伤","5｜5｜5","是","已作答","66.67","58.33","63.33","2.85","98.18","22"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","3","ITEM-00017","10","视频","情绪识别","单选题","3.50","自满｜愁闷｜紧张｜渴望｜厌倦｜嫉妒｜审美欣赏｜愉悦｜崇拜｜愤怒","愤怒","4","愤怒","5","否","已作答","100.00","75.00","90.00","3.15","45.01","8"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","4","ITEM-00067","114","图像","情绪识别","单选题","3.50","敌意｜怀旧｜绝望｜失望｜震惊｜抑郁｜满足｜焦虑｜厌倦｜悲伤","怀旧","3","震惊","4","否","已作答","0.00","0.00","0.00","0.00","23.25","5"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","5","ITEM-00009","7","音频","情绪识别","单选题","3.50","厌倦｜悲伤｜好奇｜感动｜怨恨｜担忧｜紧张｜怀旧｜厌恶｜烦躁","好奇","2","紧张","2","否","已作答","0.00","0.00","0.00","0.00","43.64","5"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","6","ITEM-00142","68","文本","情绪推理","单选题","3.50","释然｜厌恶｜敌意｜怀旧｜蔑视｜好奇｜惊喜｜困惑｜感激｜满足","敌意","4","敌意","4","否","已作答","100.00","100.00","100.00","3.50","20.59","3"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","7","ITEM-00084","78","音频","情绪推理","多选题","4.50","委屈｜羞耻｜痛苦｜惊喜｜崇拜｜怨恨｜烦躁｜快乐｜平静｜焦虑","委屈｜烦躁","4｜3","羞耻｜烦躁","4｜5","是","已作答","50.00","25.00","40.00","1.80","33.14","8"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","8","ITEM-00080","65","视频","情绪推理","多选题","4.50","冷静｜担忧｜感动｜平静｜怀旧｜愉悦｜遗憾｜渴望｜兴奋｜自豪","平静｜遗憾｜冷静","5｜4｜5","怀旧｜感动｜愉悦｜遗憾","5｜3｜3｜5","否","已作答","28.57","18.75","24.64","1.11","42.41","11"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","9","ITEM-00090","56","音频","情绪识别","多选题","4.50","怀旧｜失望｜渴望｜内疚｜愉悦｜怨恨｜自豪｜感激｜感动｜羡慕","失望｜怨恨","4｜5","怨恨｜失望","5｜5","是","已作答","100.00","87.50","95.00","4.28","18.55","7"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","10","ITEM-00010","63","文本","情绪识别","多选题","4.50","敌意｜嫉妒｜兴奋｜抑郁｜惊喜｜焦虑｜愉悦｜烦躁｜满足｜愁闷","兴奋","4","惊喜｜兴奋","4｜4","否","已作答","66.67","50.00","60.00","2.70","22.21","3"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","11","ITEM-00049","17","音频","情绪识别","单选题","3.50","蔑视｜轻松｜自豪｜震惊｜困惑｜敌意｜惊讶｜兴趣｜怨恨｜痛苦","蔑视","4","敌意","4","否","已作答","0.00","0.00","0.00","0.00","56.94","5"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","12","ITEM-00139","37","图像","情绪推理","多选题","4.50","冷静｜崇拜｜不屑｜担忧｜敬畏｜审美欣赏｜焦虑｜释然｜困惑｜自满","不屑","4","焦虑｜敬畏","3｜4","否","已作答","0.00","0.00","0.00","0.00","20.64","3"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","13","ITEM-00071","91","图像","情绪识别","多选题","4.50","委屈｜痛苦｜释然｜羡慕｜羞耻｜厌恶｜担忧｜震惊｜内疚｜失望","担忧｜失望","5｜1","失望｜震惊","5｜5","否","已作答","50.00","0.00","30.00","1.35","24.91","7"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","14","ITEM-00146","118","文本","情绪识别","多选题","4.50","爱｜失望｜感激｜烦躁｜嫉妒｜悲伤｜轻松｜不屑｜崇拜｜敌意","烦躁｜失望","4｜3","烦躁｜失望","4｜4","否","已作答","100.00","87.50","95.00","4.28","25.97","6"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","15","ITEM-00013","27","图像","情绪识别","单选题","3.50","自豪｜愤怒｜尴尬｜自满｜怨恨｜快乐｜渴望｜失望｜抑郁｜满足","愤怒","4","愤怒","5","否","已作答","100.00","75.00","90.00","3.15","6.19","3"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","16","ITEM-00141","67","文本","情绪推理","多选题","4.50","愁闷｜绝望｜审美欣赏｜惊讶｜悲伤｜快乐｜愤怒｜满足｜兴趣｜震惊","愤怒","1","愤怒｜惊讶","4｜3","否","已作答","66.67","12.50","45.00","2.02","31.92","4"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","17","ITEM-00061","109","图像","情绪识别","多选题","4.50","快乐｜爱｜崇拜｜蔑视｜感激｜渴望｜敌意｜满足｜震惊｜愉悦","爱｜快乐｜满足｜愉悦｜渴望","5｜4｜3｜4｜2","快乐｜愉悦","4｜4","否","已作答","57.14","100.00","74.29","3.34","16.48","10"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","18","ITEM-00097","82","文本","情绪识别","多选题","4.50","快乐｜兴奋｜不屑｜失望｜平静｜惊喜｜轻松｜悲伤｜共情痛苦｜怀旧","轻松","3","轻松｜快乐","4｜4","否","已作答","66.67","37.50","55.00","2.47","15.85","2"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","19","ITEM-00075","108","图像","情绪识别","多选题","4.50","爱｜困惑｜崇拜｜怀旧｜愤怒｜惊喜｜绝望｜委屈｜敌意｜震惊","震惊","4","震惊｜愤怒","5｜5","否","已作答","66.67","37.50","55.00","2.47","11.05","3"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","20","ITEM-00079","61","视频","情绪推理","多选题","4.50","审美欣赏｜绝望｜愁闷｜委屈｜怨恨｜震惊｜悲伤｜羡慕｜尴尬｜抑郁","怨恨｜委屈｜愁闷｜绝望｜悲伤","4｜3｜5｜5｜3","委屈｜悲伤","3｜3","否","已作答","57.14","100.00","74.29","3.34","42.61","17"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","21","ITEM-00074","121","文本","情绪识别","单选题","3.50","愁闷｜惊讶｜愤怒｜自豪｜兴奋｜渴望｜烦躁｜不屑｜厌倦｜怨恨","不屑","4","自豪","5","否","已作答","0.00","0.00","0.00","0.00","16.59","3"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","22","ITEM-00044","80","视频","情绪识别","多选题","4.50","感动｜紧张｜羞耻｜冷静｜平静｜愤怒｜满足｜惊喜｜惊讶｜爱","紧张｜冷静｜平静","5｜4｜3","紧张｜惊讶","4｜4","否","已作答","40.00","37.50","39.00","1.75","30.72","6"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","23","ITEM-00105","2","音频","情绪推理","多选题","4.50","敌意｜愤怒｜厌恶｜内疚｜焦虑｜兴奋｜担忧｜共情痛苦｜紧张｜蔑视","愤怒｜共情痛苦｜厌恶","5｜3｜4","焦虑｜紧张｜内疚","4｜5｜4","否","已作答","0.00","0.00","0.00","0.00","24.02","9"
"ZJ20260816493CBED0","2026-08-16 11:46:09","48.07","24","ITEM-00106","77","视频","情绪推理","单选题","3.50","感激｜失望｜愉悦｜共情痛苦｜快乐｜自满｜羞耻｜委屈｜兴奋｜绝望","愉悦","4","快乐","5","否","已作答","0.00","0.00","0.00","0.00","29.72","6"
"ZJ202608160520693C","2026-08-16 11:46:03","61.98","1","ITEM-00002","6","视频","情绪推理","单选题","3.50","羞耻｜怨恨｜好奇｜恐惧｜悲伤｜感动｜感激｜尴尬｜渴望｜烦躁","渴望","4","感动","3","是","已作答","0.00","0.00","0.00","0.00","49.42","3"
"ZJ202608160520693C","2026-08-16 11:46:03","61.98","2","ITEM-00012","26","图像","情绪识别","单选题","3.50","震惊｜惊讶｜冷静｜愤怒｜敌意｜困惑｜平静｜绝望｜厌倦｜满足","愤怒","3","愤怒","4","否","已作答","100.00","75.00","90.00","3.15","34.23","4"
"ZJ202608160520693C","2026-08-16 11:46:03","61.98","3","ITEM-00143","71","文本","情绪推理","单选题","3.50","愉悦｜审美欣赏｜不屑｜自满｜满足｜烦躁｜紧张｜悲伤｜痛苦｜委屈","烦躁","5","不屑","3","是","已作答","0.00","0.00","0.00","0.00","36.72","3"
"ZJ202608160520693C","2026-08-16 11:46:03","61.98","4","ITEM-00014","1","视频","情绪识别","单选题","3.50","冷静｜羡慕｜好奇｜满足｜兴奋｜崇拜｜感动｜希望｜感激｜内疚","崇拜","5","崇拜","5","否","已作答","100.00","100.00","100.00","3.50","37.47","6"
"ZJ202608160520693C","2026-08-16 11:46:03","61.98","5","ITEM-00129","103","图像","情绪识别","多选题","4.50","担忧｜希望｜嫉妒｜不屑｜抑郁｜释然｜满足｜崇拜｜烦躁｜敌意","满足｜不屑","3｜4","不屑｜敌意","5｜3","是","已作答","50.00","37.50","45.00","2.02","35.99","6"
"ZJ202608160520693C","2026-08-16 11:46:03","61.98","6","ITEM-00134","67","文本","情绪识别","多选题","4.50","崇拜｜痛苦｜渴望｜不屑｜敌意｜感激｜冷静｜平静｜紧张｜内疚","敌意｜不屑","4｜5","不屑｜敌意","5｜3","否","已作答","100.00","87.50","95.00","4.28","55.56","7"
"ZJ202608160520693C","2026-08-16 11:46:03","61.98","7","ITEM-00070","119","文本","情绪识别","多选题","4.50","怀旧｜痛苦｜愁闷｜渴望｜困惑｜羡慕｜快乐｜委屈｜厌倦｜自豪","愁闷｜痛苦｜困惑｜委屈","3｜3｜4｜5","困惑｜痛苦","4｜5","未填写","已作答","66.67","75.00","70.00","3.15","21.76","7"
"ZJ202608160520693C","2026-08-16 11:46:03","61.98","8","ITEM-00066","113","图像","情绪识别","多选题","4.50","悲伤｜满足｜渴望｜绝望｜焦虑｜怨恨｜痛苦｜平静｜愁闷｜不屑","悲伤｜绝望｜怨恨｜痛苦｜愁闷","5｜4｜3｜5｜3","渴望｜痛苦｜悲伤｜绝望","4｜5｜5｜5","未填写","已作答","66.67","68.75","67.50","3.04","18.07","11"
"ZJ202608160520693C","2026-08-16 11:46:03","61.98","9","ITEM-00080","65","视频","情绪推理","多选题","4.50","崇拜｜自满｜感动｜厌恶｜悲伤｜绝望｜遗憾｜愉悦｜怀旧｜快乐","遗憾｜悲伤｜怀旧","5｜3｜2","怀旧｜感动｜愉悦｜遗憾","5｜3｜3｜5","否","已作答","57.14","31.25","46.79","2.11","43.30","7"
"ZJ202608160520693C","2026-08-16 11:46:03","61.98","10","ITEM-00095","59","文本","情绪识别","多选题","4.50","失望｜困惑｜内疚｜爱｜好奇｜嫉妒｜感激｜蔑视｜不屑｜痛苦","内疚｜痛苦","5｜3","内疚｜痛苦","5｜5","否","已作答","100.00","75.00","90.00","4.05","32.05","6"
"ZJ202608160520693C","2026-08-16 11:46:03","61.98","11","ITEM-00092","66","音频","情绪识别","多选题","4.50","痛苦｜希望｜爱｜内疚｜悲伤｜兴趣｜焦虑｜困惑｜紧张｜兴奋","悲伤｜痛苦","4｜5","内疚｜痛苦｜悲伤","5｜5｜5","否","已作答","80.00","58.33","71.33","3.21","48.31","5"
"ZJ202608160520693C","2026-08-16 11:46:03","61.98","12","ITEM-00124","22","音频","情绪识别","单选题","3.50","悲伤｜羞耻｜感激｜愁闷｜释然｜痛苦｜崇拜｜愤怒｜怀旧｜轻松","释然","2","释然","3","否","已作答","100.00","75.00","90.00","3.15","41.80","6"
"ZJ202608160520693C","2026-08-16 11:46:03","61.98","13","ITEM-00085","76","视频","情绪识别","多选题","4.50","震惊｜兴奋｜释然｜自豪｜兴趣｜渴望｜委屈｜焦虑｜感动｜嫉妒","兴奋｜自豪｜感动","4｜5｜3","自豪｜兴奋","5｜5","否","已作答","80.00","87.50","83.00","3.73","28.63","8"
"ZJ202608160520693C","2026-08-16 11:46:03","61.98","14","ITEM-00081","58","视频","情绪识别","多选题","4.50","嫉妒｜困惑｜绝望｜兴趣｜审美欣赏｜厌倦｜怀旧｜震惊｜羞耻｜遗憾","审美欣赏｜兴趣","4｜4","审美欣赏｜怀旧","5｜3","否","已作答","50.00","37.50","45.00","2.02","41.79","9"
